readout,layer1_mode,exposure,seed,n_committed,n_span,n_words_covered,max_depth,mean_depth,auc,n_rates,within_mean,boundary_mean,selectivity,mean_detector_auc,n_word_detectors,auc_len3,auc_len4
single_rate,full,scrambled,3,24,0,0,2,2.0,0.3408745659722222,1,0.039445746183080346,0.03735465242148347,0.027227642038209633,1.0,4,0.5009765625,0.18077256944444445
single_rate,full,scrambled,4,24,0,0,2,2.0,0.5529513888888888,1,0.04461747477187843,0.0362002188004221,0.10415115303836463,0.9669803994657225,4,0.8294270833333334,0.2764756944444444
single_rate,full,scrambled,5,24,0,0,2,2.0,0.5621202256944444,1,0.03631423176323838,0.03960603260032449,-0.0433586587807771,0.9769813519813519,4,0.6481119791666666,0.4761284722222222
single_rate,full,scrambled,6,24,0,0,2,2.0,0.5699327256944444,1,0.03768161898378781,0.04190504809428203,-0.0530670433321612,1.0,4,0.8492838541666666,0.2905815972222222
single_rate,full,scrambled,7,24,0,0,2,2.0,0.3453233506944444,1,0.04317098754383118,0.03404457971969488,0.1181938843107781,0.9959677419354839,4,0.2744140625,0.4162326388888889
multi_rate,full,scrambled,0,18,0,0,4,3.6666666666666665,0.5218098958333334,6,0.036922569087478686,0.03954151760786129,-0.03425070034272979,0.9783047675334909,4,0.4322916666666667,0.611328125
multi_rate,full,scrambled,1,17,0,0,4,3.5294117647058822,0.4124891493055556,6,0.042035964873411984,0.03556254332580358,0.08342198449214314,0.9754958914258773,4,0.3512369791666667,0.4737413194444444
multi_rate,full,scrambled,2,24,0,0,4,3.5833333333333335,0.44905598958333337,6,0.03687102551568447,0.03808318989801221,-0.01617206418127935,0.9967625899280576,4,0.2945963541666667,0.603515625
multi_rate,full,scrambled,3,20,0,0,4,3.55,0.392578125,6,0.039445746183080346,0.03735465242148347,0.027227642038209633,0.9916107382550335,4,0.5520833333333334,0.23307291666666666
multi_rate,full,scrambled,4,18,0,0,4,3.611111111111111,0.4961480034722222,6,0.04461747477187843,0.0362002188004221,0.10415115303836463,0.965268070698599,4,0.4742838541666667,0.5180121527777778
multi_rate,full,scrambled,5,19,0,0,4,3.526315789473684,0.5255533854166666,6,0.03631423176323838,0.03960603260032449,-0.0433586587807771,0.9775641025641025,4,0.5895182291666666,0.4615885416666667
multi_rate,full,scrambled,6,19,0,0,4,3.6315789473684212,0.5050455729166666,6,0.03768161898378781,0.04190504809428203,-0.0530670433321612,0.990990990990991,4,0.6923828125,0.3177083333333333
multi_rate,full,scrambled,7,18,0,0,4,3.4444444444444446,0.2577039930555556,6,0.04317098754383118,0.03404457971969488,0.1181938843107781,0.9695511113330448,4,0.3619791666666667,0.15342881944444445
