condition,sequence,role,seed,target_response
uniform_inhibition,BA,unexpected,1,4.9401570892289906
uniform_inhibition,BA,unexpected,2,4.941619006482458
uniform_inhibition,BA,unexpected,3,4.976857622831106
uniform_inhibition,BA,unexpected,4,4.970260383337425
uniform_inhibition,BA,unexpected,5,4.9561334923482905
uniform_inhibition,BA,unexpected,6,4.967480730546243
uniform_inhibition,BA,unexpected,7,4.952363122453196
uniform_inhibition,BA,unexpected,8,4.967712762791399
uniform_inhibition,BA,unexpected,9,4.985161246958997
uniform_inhibition,BA,unexpected,10,4.944480518177554
uniform_inhibition,BA,unexpected,11,4.960410899105744
