sequence,sequence_time_ms,balanced_accuracy,ci95_low,ci95_high,cluster_p_fwer,cluster_significant
BA,240,0.5,0.5,0.5,1.0,0
BA,245,0.5,0.5,0.5,1.0,0
BA,250,0.5,0.5,0.5,1.0,0
BA,255,0.5,0.5,0.5,1.0,0
BA,260,0.5,0.5,0.5,1.0,0
BA,265,0.5,0.5,0.5,1.0,0
BA,270,0.5,0.5,0.5,1.0,0
BA,275,0.5,0.5,0.5,1.0,0
BA,280,0.5,0.5,0.5,1.0,0
BA,285,0.5,0.5,0.5,1.0,0
BA,290,0.5,0.5,0.5,1.0,0
BA,295,0.5,0.5,0.5,1.0,0
BA,300,0.5,0.5,0.5,1.0,0
BA,305,0.5,0.5,0.5,1.0,0
BA,310,0.5,0.5,0.5,1.0,0
BA,315,0.5,0.5,0.5,1.0,0
BA,320,0.5,0.5,0.5,1.0,0
BA,325,0.5,0.5,0.5,1.0,0
BA,330,0.5,0.5,0.5,1.0,0
BA,335,0.5,0.5,0.5,1.0,0
BA,340,0.5,0.5,0.5,1.0,0
BA,345,0.5,0.5,0.5,1.0,0
BA,350,0.5,0.5,0.5,1.0,0
BA,355,0.5,0.5,0.5,1.0,0
BA,360,0.5,0.5,0.5,1.0,0
BA,365,0.5,0.5,0.5,1.0,0
BA,370,0.5,0.5,0.5,1.0,0
BA,375,0.5,0.5,0.5,1.0,0
BA,380,0.5,0.5,0.5,1.0,0
BA,385,0.5,0.5,0.5,1.0,0
BA,390,0.5,0.5,0.5,1.0,0
BA,395,0.5,0.5,0.5,1.0,0
BA,400,0.5,0.5,0.5,1.0,0
BA,405,0.5,0.5,0.5,1.0,0
BA,410,0.5,0.5,0.5,1.0,0
BA,415,0.5,0.5,0.5,1.0,0
BA,420,0.5,0.5,0.5,1.0,0
BA,425,0.5,0.5,0.5,1.0,0
BA,430,0.5,0.5,0.5,1.0,0
BA,435,0.5,0.5,0.5,1.0,0
BA,440,0.5,0.5,0.5,1.0,0
BA,445,0.5,0.5,0.5,1.0,0
BA,450,0.5,0.5,0.5,1.0,0
BA,455,0.5,0.5,0.5,1.0,0
BA,460,0.5,0.5,0.5,1.0,0
BA,465,0.5,0.5,0.5,1.0,0
BA,470,0.5,0.5,0.5,1.0,0
BA,475,0.5,0.5,0.5,1.0,0
BA,480,0.5,0.5,0.5,1.0,0
BA,485,0.5,0.5,0.5,1.0,0
BA,490,0.5,0.5,0.5,1.0,0
BA,495,0.5,0.5,0.5,1.0,0
BA,500,0.5,0.5,0.5,1.0,0
BA,505,0.5,0.5,0.5,1.0,0
BA,510,0.5,0.5,0.5,1.0,0
BA,515,0.5,0.5,0.5,1.0,0
BA,520,0.5,0.5,0.5,1.0,0
BA,525,0.5,0.5,0.5,1.0,0
BA,530,0.5,0.5,0.5,1.0,0
BA,535,0.5,0.5,0.5,1.0,0
BA,540,0.5,0.5,0.5,1.0,0
BA,545,0.5,0.5,0.5,1.0,0
BA,550,0.5,0.5,0.5,1.0,0
BA,555,0.5,0.5,0.5,1.0,0
BA,560,0.5,0.5,0.5,1.0,0
BA,565,0.5,0.5,0.5,1.0,0
BA,570,0.5,0.5,0.5,1.0,0
BA,575,0.5,0.5,0.5,1.0,0
BA,580,0.5,0.5,0.5,1.0,0
BA,585,0.5,0.5,0.5,1.0,0
BA,590,0.5,0.5,0.5,1.0,0
BA,595,0.5,0.5,0.5,1.0,0
BA,600,0.5,0.5,0.5,1.0,0
