context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
AB_context,4,350,0.12440424492137002,0.0,0.20692781904889357,0.1243434060128887
AB_context,4,375,0.12440199300256358,0.002482035652158657,0.20510485474796444,0.12434723776869935
AB_context,4,400,0.12439680608352496,0.020165593564659055,0.19811511461948006,0.12435622489535396
AB_context,5,0,0.0,0.0,0.0,0.0
AB_context,5,25,0.12317489947772399,0.0,0.17581989579968238,0.12235030587458354
AB_context,5,50,0.12439027839400309,0.007840727561950247,0.20342764593512852,0.12431552904890734
AB_context,5,75,0.12440624416585125,0.0,0.20907670875287354,0.12433880498009986
AB_context,5,100,0.1244015451180798,0.004254631531974411,0.20626200103228598,0.1243479891090532
AB_context,5,125,0.12439666277717557,0.02017737642685861,0.2007839980470868,0.12435594864202401
AB_context,5,150,0.12439846317466603,0.007799134936726083,0.19626619996691624,0.12435460291500343
AB_context,5,175,0.12440160874231387,0.0,0.19778258416281055,0.12434962421656424
AB_context,5,200,0.12439956644394602,0.00926447953088916,0.18916120401749473,0.1243552360993395
AB_context,5,225,0.12440570870810375,0.0,0.2074220050146864,0.12434077507970173
AB_context,5,250,0.12440150797341908,0.0,0.19972661417346405,0.12434944958219278
AB_context,5,275,0.12440219918181543,0.0,0.1963356311180815,0.12434945370034797
AB_context,5,300,0.12440516038336856,0.0,0.20507077002684934,0.12434217699557308
AB_context,5,325,0.12440189057244443,0.007859753744459214,0.20661795166639768,0.12434653394164322
AB_context,5,350,0.12439911419476704,0.007825429258897553,0.20076791950642414,0.12435256065579141
AB_context,5,375,0.1244077386731079,0.0,0.21264913047936204,0.12433589297506588
AB_context,5,400,0.12440445627871355,0.0,0.2014423763419489,0.1243451917330538
AB_context,6,0,0.0,0.0,0.0,0.0
AB_context,6,25,0.12303237279715193,0.013284441413177127,0.12875859018540287,0.12265083519796662
AB_context,6,50,0.12438527673987913,0.007715980863779118,0.18225887574803257,0.1243311475913379
AB_context,6,75,0.12440575314588494,0.0,0.20916381797552272,0.12433943450165433
AB_context,6,100,0.12440709953807204,0.0,0.2138051961502904,0.1243367590276232
AB_context,6,125,0.12440383146981226,0.0,0.20466540308560097,0.12434466752807642
AB_context,6,150,0.12439260102145365,0.020703507699534635,0.19082624490127123,0.12436395015224734
AB_context,6,175,0.12440085248447637,0.0023476456514158386,0.19455222296698033,0.124351424987995
AB_context,6,200,0.1243986021205242,0.013317782331124652,0.19859824116899777,0.12435326378317313
