preset,plasticity,n_fig,seed,w_ff,w_gg,w_fg,w_ff_over_gg,assembly_drive,E_fig_figure,E_fig_cloud,E_gnd_figure,E_gnd_cloud,tm_fig_figure,tm_fig_cloud,tm_gnd_figure,tm_gnd_cloud,rec_fig_figure,rec_fig_cloud,rec_gnd_figure,rec_gnd_cloud,inh_fig_figure,inh_fig_cloud,inh_gnd_figure,inh_gnd_cloud,net_fig_figure,net_fig_cloud,net_gnd_figure,net_gnd_cloud
selective,frozen,6,3,0.0,0.0,0.0,nan,0.0,2.3341522575799623,2.605537020964351,2.5618209824706573,2.63670239068135,6.928607575269539,7.441044019473873,7.243540303642773,7.512733285420988,0.0,0.0,0.0,0.0,3.8454749131729287,3.8205147935525177,3.67667798842375,3.836847077937287,3.08313266209661,3.6205292259213535,3.5668623152190237,3.6758862074837007
selective,frozen,6,4,0.0,0.0,0.0,nan,0.0,2.198987598628003,2.7266892523296637,2.5833046773479835,2.633947731825172,6.892737118513988,7.691249666916866,7.277387171270322,7.509596585559963,0.0,0.0,0.0,0.0,3.8428042843350436,3.852963624732406,3.6571473825904413,3.8424445512432555,3.0499328341789442,3.8382860421844596,3.62023978867988,3.6671520343167074
selective,frozen,6,5,0.0,0.0,0.0,nan,0.0,2.436905801255293,2.6284478592402514,2.557173358278573,2.643110583832253,7.336537038473008,7.5067877407680115,7.235998816576934,7.528259385365528,0.0,0.0,0.0,0.0,3.906886269209101,3.838524582532615,3.671169306882797,3.835629989393154,3.429650769263908,3.668263158235397,3.564829509694138,3.692629395972375
selective,frozen,6,6,0.0,0.0,0.0,nan,0.0,2.5561711281523127,2.612890985848227,2.5663764302128587,2.6494610659938203,7.583257917424236,7.490164850193544,7.262408620972184,7.53144041504042,0.0,0.0,0.0,0.0,3.920344057224435,3.840542419641448,3.6891470101985404,3.84457191446212,3.662913860199801,3.649622430552096,3.573261610773644,3.6868685005782993
selective,frozen,6,7,0.0,0.0,0.0,nan,0.0,2.2322683486021315,2.7220553696664953,2.599432539818607,2.6479279707957106,6.983999432253953,7.63694159692964,7.281001394421404,7.547182056074318,0.0,0.0,0.0,0.0,3.8053694541015606,3.865913414583028,3.667580474430752,3.857265986406136,3.1786299781523937,3.771028182346613,3.613420919990651,3.6899160696681825
selective,frozen,8,0,0.0,0.0,0.0,nan,0.0,2.4237616284147454,2.654640960186063,2.598899406480423,2.6487811783143274,7.398941128173037,7.534922823785612,7.27993035528642,7.542506641207612,0.0,0.0,0.0,0.0,3.9162370656850527,3.854513358290049,3.678780768155309,3.8605800811078006,3.4827040624879837,3.6804094654955635,3.60114958713111,3.681926560099811
selective,frozen,8,1,0.0,0.0,0.0,nan,0.0,2.495573757609607,2.5329201277552285,2.583249364688927,2.6414081196837023,7.573529432852181,7.311577153224117,7.2652650803369045,7.4933965791864825,0.0,0.0,0.0,0.0,3.9943604735324922,3.806133810373752,3.6660877322363037,3.8305184421614613,3.5791689593196896,3.5054433428503655,3.5991773481006,3.6628781370250225
selective,frozen,8,2,0.0,0.0,0.0,nan,0.0,2.4325607051254075,2.5943796852013152,2.554504587109898,2.646279429857796,7.436448495450745,7.4344085470696175,7.218031807326648,7.50963377380198,0.0,0.0,0.0,0.0,4.007441286911449,3.82103378994071,3.6849735896817153,3.831589497110298,3.429007208539296,3.613374757128907,3.5330582176449328,3.6780442766916814
selective,frozen,8,3,0.0,0.0,0.0,nan,0.0,2.3359451046797863,2.598801942154932,2.565166945213354,2.63709472219336,6.980981874727594,7.446477658494468,7.223798632822378,7.508485007032912,0.0,0.0,0.0,0.0,3.940317010177251,3.8216223246382612,3.6611217805851135,3.8353942584217977,3.0406648645503447,3.624855333856206,3.562676852237265,3.673090748611115
selective,frozen,8,4,0.0,0.0,0.0,nan,0.0,2.164363897377245,2.6977874272990143,2.606554479271731,2.6363873615015105,6.866202547067697,7.659478873809614,7.28142245285146,7.511945776888578,0.0,0.0,0.0,0.0,3.9064087987740024,3.8554917877979173,3.628243007881916,3.845903651533458,2.9597937482936945,3.803987086011697,3.6531794449695454,3.66604212535512
selective,frozen,8,5,0.0,0.0,0.0,nan,0.0,2.380895345936528,2.6127854473578833,2.5806065076316163,2.648598611389721,7.3080721813185,7.482107506382725,7.243128571452495,7.540337274550611,0.0,0.0,0.0,0.0,3.9995437587673806,3.8347041906994677,3.6439625325789393,3.840199229750371,3.308528422551118,3.6474033156832553,3.5991660388735562,3.7001380448002386
selective,frozen,8,6,0.0,0.0,0.0,nan,0.0,2.4842083514576467,2.596310231785135,2.590998739732678,2.654543316968796,7.528153306499296,7.462252040682398,7.276867369726074,7.538418291394781,0.0,0.0,0.0,0.0,4.009390596163036,3.8421589295616165,3.66670954644659,3.8441004137217214,3.5187627103362598,3.620093111120782,3.610157823279485,3.6943178776730585
selective,frozen,8,7,0.0,0.0,0.0,nan,0.0,2.1853850280724845,2.721000979589735,2.624527943623749,2.6439618209825837,6.949512935054852,7.641812835041273,7.28685381251032,7.545209056247714,0.0,0.0,0.0,0.0,3.875600740602923,3.866873780562792,3.635843726572896,3.861074379237935,3.0739121944519288,3.774939054478481,3.6510100859374233,3.6841346770097765
selective,frozen,10,0,0.0,0.0,0.0,nan,0.0,2.395613225383878,2.6524514173642832,2.617562880579322,2.6469606075449303,7.371769440893471,7.528553563994285,7.2827970085769635,7.542709962703735,0.0,0.0,0.0,0.0,3.9700036546362347,3.8581725438041645,3.6521505210689953,3.8597025291564564,3.4017657862572364,3.6703810201901206,3.6306464875079683,3.6830074335472793
selective,frozen,10,1,0.0,0.0,0.0,nan,0.0,2.4775445035874224,2.5548136475285297,2.5968275630509505,2.6349578908882405,7.607386155392502,7.344371223995371,7.259788643435523,7.479178897199181,0.0,0.0,0.0,0.0,4.092507119119932,3.805593359534857,3.6376380989860544,3.82586373371144,3.5148790362725704,3.5387778644605135,3.6221505444494673,3.653315163487742
selective,frozen,10,2,0.0,0.0,0.0,nan,0.0,2.400112036872551,2.5770033533837964,2.567333249988833,2.6507795384446045,7.440402126538421,7.398555043733829,7.207488257592837,7.51441727527291,0.0,0.0,0.0,0.0,4.094483211626928,3.8196683279647003,3.663458648300358,3.826534964278371,3.345918914911494,3.5788867157691278,3.544029609292479,3.6878823109945387
selective,frozen,10,3,0.0,0.0,0.0,nan,0.0,2.320852255940849,2.588636150248843,2.580783651313946,2.6407569679299767,6.99735588410929,7.43773611726561,7.231468097742197,7.510159834081369,0.0,0.0,0.0,0.0,4.021795878430689,3.8234073603053282,3.640751007072626,3.8335869285571453,2.9755600056786022,3.6143287569602807,3.5907170906695702,3.676572905524222
selective,frozen,10,4,0.0,0.0,0.0,nan,0.0,2.146215032600063,2.685894011247128,2.6316897837251068,2.637320422810139,6.859805735358414,7.614491066130483,7.290168627605129,7.524421523526779,0.0,0.0,0.0,0.0,3.963639877311236,3.8577095391704175,3.5978981374688224,3.849424871604853,2.896165858047178,3.7567815269600637,3.692270490136307,3.6749966519219264
