deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,16,1,1.433146174462962
1,16,2,1.5057010905294754
1,16,3,1.8384452181500965
1,16,4,1.4098871787871405
1,16,5,1.290477334436868
1,16,6,1.2207834677494864
1,16,7,1.6747584611111677
1,16,8,1.4774755150371643
1,16,9,1.5687704594235372
1,16,10,1.1296365967777224
1,16,11,1.0187609538164606
1,16,12,1.2179085783924413
1,16,13,1.2483272602630469
1,16,14,1.4221491788965042
1,16,15,1.5439035082683183
1,17,1,1.5889802389219316
1,17,2,1.1349254895085217
1,17,3,1.4437606402597072
1,17,4,1.3857759606134918
1,17,5,1.3175646113570223
1,17,6,1.1270079018544956
1,17,7,1.0831299681594484
1,17,8,1.4441748918986408
1,17,9,1.3114891672142492
1,17,10,1.2981747628189058
1,17,11,1.0725742128171991
1,17,12,1.4498447704441384
1,17,13,1.6660154612965365
1,17,14,1.3048188701354602
1,17,15,1.6141914015285215
1,18,1,0.7871218069803508
1,18,2,1.0237063747901087
1,18,3,1.4743371098610218
1,18,4,1.5517234293402729
1,18,5,1.1077084323751327
1,18,6,1.6336390791201252
1,18,7,1.146384718826198
1,18,8,1.2650965241855974
1,18,9,0.9495736507885457
1,18,10,1.170131672859816
1,18,11,1.0778042036963658
1,18,12,1.2530359406672
1,18,13,1.372417283513031
1,18,14,1.0696548996257425
1,18,15,1.2609736002862773
1,19,1,1.3992166010974068
1,19,2,1.3232279962244617
1,19,3,1.1454332404276744
1,19,4,1.5719860801475767
1,19,5,1.3356198476956551
1,19,6,1.017841384671502
1,19,7,1.5565772721710014
1,19,8,1.7825641198609705
1,19,9,1.074076399572609
1,19,10,1.2870631517425741
1,19,11,1.1402356618148097
1,19,12,1.0747967753172316
1,19,13,1.343929025267374
1,19,14,1.2865157365247777
1,19,15,1.0378293463149644
1,20,1,1.4409542539696691
1,20,2,1.1730161791137768
1,20,3,1.6167971089280706
1,20,4,1.1772641819088523
1,20,5,1.214056248985955
1,20,6,1.1651136692718655
1,20,7,1.29998287290771
1,20,8,1.188372290370697
1,20,9,1.234887882331962
1,20,10,1.3924428621928684
1,20,11,1.3234790490204942
1,20,12,0.9674908564238601
1,20,13,1.616821244954291
1,20,14,1.5389257032065886
1,20,15,1.5897069559570551
1,21,1,1.4527820718728068
1,21,2,1.473255909972271
1,21,3,1.6291918776735035
1,21,4,1.1608821872528023
1,21,5,1.3268667310822566
1,21,6,0.9571487448454072
1,21,7,1.6464020611907293
1,21,8,0.9562217193426311
1,21,9,1.5911259479992204
1,21,10,1.4935293768310995
1,21,11,1.2740008185098375
1,21,12,1.987165647435203
1,21,13,1.0539438993015062
1,21,14,1.6574296499920596
1,21,15,1.1347645889530111
1,22,1,1.3961388205817125
1,22,2,1.2068085617634667
1,22,3,1.4267588695250768
1,22,4,1.661119970255843
1,22,5,1.258590453696155
1,22,6,1.940225128147539
1,22,7,1.6592861544191828
1,22,8,1.4655695794672576
1,22,9,1.2834929605920018
1,22,10,0.9820793303198396
1,22,11,1.3561345065756332
1,22,12,1.3010135770230395
1,22,13,1.3319431609946053
1,22,14,2.4173099894660215
1,22,15,1.3819848018505732
1,23,1,1.3299278707756081
1,23,2,1.6451475315376232
1,23,3,1.5064546932527916
1,23,4,1.4661528172485208
1,23,5,1.6224842753143036
1,23,6,1.4495967003642474
1,23,7,1.2076435668657297
1,23,8,1.1519581572324247
1,23,9,1.7380746415972443
1,23,10,1.5583567040459296
1,23,11,1.2145225771111465
1,23,12,1.072203040257447
1,23,13,1.541916253659978
1,23,14,1.6843000200134415
1,23,15,1.2574119106094073
1,24,1,0.9461125441432797
1,24,2,1.962612807071824
1,24,3,1.1413883790576511
1,24,4,1.6808027479597463
1,24,5,1.3413189342074707
1,24,6,1.255266481929743
1,24,7,1.1449488590960573
1,24,8,1.5292556980609107
1,24,9,1.1016279566891813
1,24,10,1.6700090130450618
1,24,11,1.2969571918647966
1,24,12,1.39207391806736
1,24,13,1.942624331887804
1,24,14,1.2996625105425341
1,24,15,1.5668277259054744
1,25,1,1.3767791463681458
1,25,2,1.738992521436556
1,25,3,0.9164294217969644
1,25,4,1.4497442042406112
1,25,5,1.4634585715611406
1,25,6,0.8560184264675309
1,25,7,1.4858181300994169
1,25,8,1.2177726524594266
1,25,9,1.9446659949971137
1,25,10,1.3800981644644568
1,25,11,1.3512693413840606
1,25,12,1.188671730466597
1,25,13,1.4984994943665009
1,25,14,1.4455185900971999
1,25,15,1.3240830856810668
1,26,1,1.1494147276323088
1,26,2,1.228359592658338
1,26,3,1.5304092465577548
1,26,4,1.6782218288450326
1,26,5,1.5623873020440036
1,26,6,1.6640033123952944
1,26,7,0.9232549301048872
1,26,8,1.665419998933924
1,26,9,2.2434140402534988
1,26,10,1.0968860416933757
1,26,11,1.0267961911614913
1,26,12,1.4869737569446664
1,26,13,1.6479003715690186
1,26,14,1.2415801950985395
1,26,15,1.689631874309506
1,27,1,1.9236304444192573
1,27,2,1.4758000088426273
1,27,3,1.7433504603592966
1,27,4,1.3691259966113885
1,27,5,1.632434766372085
